uFips,Latitude (generated),Longitude (generated),Living Wage Calculators
51061,38.76,-77.83,24746.945021882
51059,38.955,-77.289,24852.169578995
51057,37.923,-76.919,20741
51053,37.079,-77.647,21847.460299501
51051,37.116,-82.344,18565.267203464
51049,37.477,-78.268,21796
51047,38.53,-77.925,20095.520749758
51045,37.495,-80.222,19472.104870109
51043,39.116,-77.99,24742.435881918
51041,37.382,-77.561,21850.331838565
51037,37.028,-78.673,19410
51036,37.355,-77.071,21847.979373419
51035,36.719,-80.748,19615
51033,38.021,-77.356,21844.015675427
51031,37.231,-79.133,19400.599070993
51029,37.556,-78.536,19830.385648178
51027,37.281,-82.027,19615
51025,36.766,-77.851,19129
51023,37.602,-79.786,19465.648569332
51021,37.146,-81.158,19615
51019,37.178,-79.52,19403.246185760
51017,38.061,-79.746,19615
51015,38.161,-79.141,19059.294378698
51013,38.875,-77.102,24989.509755813
51011,37.37,-78.806,19403.052233453
51009,37.621,-79.152,19405.538534535
51007,37.354,-77.944,21849.689201511
51005,37.82,-79.954,19615
51003,37.994,-78.523,21047.012698876
51001,37.702,-75.701,20598
50027,43.555,-72.592,24658.853302869
50025,42.982,-72.72,23684
50023,44.316,-72.584,25149.798438998
50021,43.576,-73.066,23705.659167527
50019,44.798,-72.226,23643
50017,44.022,-72.411,22693.648776436
50015,44.602,-72.647,24194
50013,44.795,-73.29,24704.342143906
50011,44.834,-72.895,24699.221064287
50009,44.71,-71.719,22818.183447937
50007,44.475,-73.082,24708.625972837
50005,44.44,-72.135,23337
50003,43.024,-73.055,22941.005275260
50001,44.062,-73.089,24694
49057,41.288,-111.956,18376.381321113
49055,38.326,-110.867,17906
49053,37.309,-113.476,18166.801823622
49051,40.392,-111.256,19915.089695566
49049,40.087,-111.535,18335.755598908
49047,40.142,-109.547,20094.804165540
49045,40.452,-113.095,18978.440438317
49043,40.853,-110.824,19662.668115042
49041,38.773,-111.91,17906
49039,39.386,-111.631,17987
49037,37.618,-109.639,17906
49035,40.637,-111.908,19452.372938977
49033,41.652,-111.278,19153
49031,38.33,-112.142,19085
49029,41.136,-111.549,18321.684124180
49027,39.063,-113.032,17906
49025,37.27,-111.77,19172
49023,39.728,-112.816,18274.497567448
49021,37.838,-113.259,17332.296191018
49019,38.981,-109.615,18507
49017,37.846,-111.308,18018
49015,38.984,-110.647,17906
49013,40.292,-110.435,18283
49011,41.008,-112.115,18375.421135275
49009,40.912,-109.524,19037
49007,39.64,-110.56,17794.793923741
49005,41.69,-111.783,18129.254603269
49003,41.521,-113.082,18258.510002741
49001,38.361,-113.192,17916
48507,28.866,-99.761,18697
48505,26.971,-99.203,18387.216352846
48503,33.175,-98.687,18535
48501,33.173,-102.829,18816
48499,32.783,-95.407,19086
48497,33.214,-97.652,19096.666343826
48495,31.869,-103.062,18697
48493,29.176,-98.067,19762.230168876
48491,30.68,-97.602,21515.488359788
48489,26.453,-97.585,18290.502033347
48487,34.087,-99.213,18711.954720754
48485,33.984,-98.688,18269.641970637
48483,35.401,-100.269,18697
48481,29.286,-96.241,18269.660487805
48479,27.851,-99.505,20083.635341366
48477,30.209,-96.437,19294.37929598
48475,31.511,-103.189,18697
48473,29.981,-95.997,20693.043541364
48471,30.727,-95.595,18480.986287154
48469,28.802,-96.974,19689.683648316
48467,32.556,-95.762,19367
48465,29.905,-101.23,18835.230962343
48463,29.357,-99.762,18786.348450545
48461,31.367,-102.046,18697
48459,32.73,-94.912,20644.881219578
48457,30.779,-94.354,18697
48455,31.068,-95.138,18079.415366957
48453,30.249,-97.771,21529.848254023
48451,31.447,-100.689,18772.934182590
48449,33.23,-94.967,17917.740119596
48447,33.177,-99.211,18697
48445,33.173,-102.335,18697
48443,30.224,-102.106,18697
48441,32.301,-99.89,19181.991425509
48439,32.77,-97.291,20645.136739659
48437,34.53,-101.734,18697
48435,30.497,-100.538,18697
48433,33.179,-100.254,18697
48431,31.823,-101.044,19129
48429,32.736,-98.835,18891
48427,26.551,-98.746,18445.295306565
48425,32.223,-97.779,18857.152124974
48423,32.358,-95.289,20491.875305624
48421,36.277,-101.893,18697
48419,31.802,-94.152,18697
48417,32.736,-99.354,18697
48415,32.745,-100.915,18782.136808736
48413,30.897,-100.538,18697
48411,31.152,-98.753,18697
48409,27.999,-97.521,19706.675815603
48407,30.518,-95.094,20504
48405,31.385,-94.191,18881
48403,31.363,-93.821,18697
48401,32.107,-94.719,19158.192325912
48399,31.83,-99.975,18697
48397,32.897,-96.408,20444.216141875
48395,30.981,-96.532,21034.538532962
48393,35.838,-100.812,18816
48391,28.324,-97.152,18794
48389,31.218,-103.556,18652.358503685
48387,33.619,-95.021,18697
48385,29.849,-99.832,18697
48383,31.365,-101.521,18697
48381,34.965,-101.895,18935.505123661
48379,32.873,-95.811,18697
48377,30.029,-104.386,18697
48375,35.401,-101.895,18936.726920951
48373,30.832,-94.869,18827
48371,30.728,-102.676,18837
48369,34.53,-102.784,18697
48367,32.777,-97.805,20628.414160533
48365,32.157,-94.308,18697
48363,32.759,-98.316,18685.982583759
48361,30.114,-93.903,19249.544831525
48359,35.405,-102.602,19041.550111359
48357,36.278,-100.815,18751
48355,27.711,-97.463,19708.196504450
48353,32.303,-100.405,18353.490490491
48351,30.879,-93.709,18540.891891892
48349,32.045,-96.473,19648.392280453
48347,31.643,-94.639,19375.075333802
48345,34.073,-100.779,18697
48343,33.116,-94.736,18697
48341,35.837,-101.892,20078.183036372
48339,30.306,-95.463,20701.249705189
48337,33.685,-97.731,18891
48335,32.306,-100.922,18697
48333,31.515,-98.63,18697
48331,30.798,-96.963,18697
48329,31.869,-102.031,20184.868837064
48327,30.898,-99.8,18697
48325,29.357,-99.109,18886.601226571
48323,28.801,-100.389,18179.702157950
48321,28.859,-95.945,18337.720654749
48319,30.719,-99.224,18697
48317,32.305,-101.949,19034.357998370
48315,32.788,-94.376,18697
48313,30.973,-95.926,18697
48311,28.352,-98.568,18816
48309,31.549,-97.203,18853.879279006
48307,31.182,-99.347,18697
48305,33.176,-101.816,18625.477620654
48303,33.61,-101.821,19207.030108039
48301,31.855,-103.655,18816
48299,30.71,-98.657,18697
48297,28.345,-98.071,18697
48295,36.277,-100.273,18697
48293,31.515,-96.584,19583
48291,30.188,-94.804,20684.909894970
48289,31.304,-95.993,18816
48287,30.296,-96.987,18697
48285,29.361,-96.9,18189
48283,28.344,-99.098,18697
48281,31.232,-98.238,18976.851201479
48279,34.069,-102.35,18697
48277,33.702,-95.582,18451.154741981
48275,33.602,-99.734,18697
48273,27.419,-97.612,19281.296889659
48271,29.354,-100.454,18697
48269,33.616,-100.254,18816
48267,30.5,-99.709,18978
48265,30.096,-99.337,20157.593260188
48263,33.181,-100.777,19615
48261,26.938,-97.605,19428.672309553
48259,29.941,-98.667,19672.702891599
48257,32.586,-96.302,20444.399566221
48255,28.902,-97.882,19388
48253,32.74,-99.879,19204.543122628
48251,32.381,-97.351,20631.789864030
48249,27.846,-98.012,19577.670347003
48247,27.07,-98.686,18697
48245,29.879,-94.129,19240.937702640
48243,30.76,-104.209,18697
48241,30.941,-94.162,19388
48239,28.975,-96.623,18654
48237,33.235,-98.172,18924
48235,31.304,-100.981,18792.037788663
48233,35.84,-101.354,19105.242696950
48231,33.109,-96.077,20447.887394121
48229,31.462,-105.452,18709.232572079
48227,32.305,-101.434,17841.262861678
48225,31.342,-95.367,18038
48223,33.159,-95.585,19239.531235130
48221,32.421,-97.841,20703.242409088
48219,33.606,-102.345,19316.669561534
48217,32.044,-97.108,19183
48215,26.429,-98.224,18551.020714340
48213,32.188,-95.941,19541.307470456
48211,35.837,-100.27,19183
48209,30.001,-98.003,21513.961323940
48207,33.178,-99.731,18697
48205,35.84,-102.602,18697
48203,32.522,-94.372,18104.332068180
48201,29.849,-95.434,20724.788051815
48199,30.312,-94.401,19253.073691508
48197,34.253,-99.736,18762
48195,36.277,-101.354,18697
48193,31.73,-98.115,18697
48191,34.53,-100.681,18416
48189,34.07,-101.826,18726.650577049
48187,29.579,-97.971,19768.511013216
48185,30.539,-95.996,18697
48183,32.501,-94.783,20644.643104487
48181,33.659,-96.662,19043.178661298
48179,35.401,-100.812,18440.803080308
48177,29.443,-97.494,18881
48175,28.654,-97.466,19687.713965980
48173,31.869,-101.52,18663.490488889
48171,30.318,-98.945,20310.468827264
48169,33.179,-101.298,18697
48167,29.382,-94.8,20708.140309064
48165,32.74,-102.633,18708
48163,28.867,-99.107,18697
48161,31.715,-96.138,18870
48159,33.169,-95.216,18697
48157,29.535,-95.756,20701.322247964
48155,33.958,-99.761,18697
48153,34.072,-101.303,18697
48151,32.743,-100.402,18697
48149,29.85,-96.943,18870
48147,33.605,-96.114,18017
48145,31.253,-96.937,18446.983407004
48143,32.215,-98.208,19223.129389232
48141,31.804,-106.299,19828.806907895
48139,32.35,-96.735,20446.565539866
48137,29.956,-100.227,18697
48135,31.869,-102.543,21031.638155302
48133,32.326,-98.796,18881
48131,27.661,-98.517,19237
48129,34.965,-100.814,18697
48127,28.422,-99.754,18697
48125,33.616,-100.779,18697
48123,29.096,-97.365,18881
48121,33.203,-97.116,20463.093258875
48119,33.414,-95.583,20290
48117,34.966,-102.605,18721.649862379
48115,32.742,-101.948,18232.410612128
48113,32.766,-96.777,20473.186413902
48111,36.277,-102.602,18697
48109,31.453,-104.471,18697
48107,33.614,-101.301,19207.293415530
48105,30.858,-101.675,18697
48103,31.456,-102.534,19529
48101,34.074,-100.258,18697
48099,31.39,-97.799,19748.497441810
48097,33.67,-97.215,19984.638038943
48095,31.332,-99.858,21494
48093,31.981,-98.54,18697
48091,29.809,-98.322,19767.580594679
48089,29.604,-96.524,18330
48087,34.965,-100.27,18697
48085,33.191,-96.569,20458.996894163
48083,31.757,-99.459,18697
48081,31.888,-100.53,17919
48079,33.606,-102.825,18697
48077,33.79,-98.184,18287.468630042
48075,34.529,-100.207,18902
48073,31.857,-95.164,18365.688707281
48071,29.713,-94.685,20690.570075498
48069,34.529,-102.261,18697
48067,33.068,-94.348,18697
48065,35.403,-101.354,18933.444009749
48063,32.988,-94.936,18697
48061,26.109,-97.475,18621.010729614
48059,32.297,-99.372,19201.176911745
48057,28.44,-96.626,19369.644238206
48055,29.833,-97.607,21512.030760467
48053,30.731,-98.144,19043
48051,30.514,-96.617,21034.565742099
48049,31.797,-98.936,18992.004148502
48047,27.022,-98.261,18697
48045,34.529,-101.208,18697
48043,29.747,-103.06,19709
48041,30.707,-96.34,21028.036122135
48039,29.11,-95.465,20877.461361101
48037,33.406,-94.394,18378.397229798
48035,31.92,-97.641,18697
48033,32.743,-101.432,18816
48031,30.236,-98.358,19964
48029,29.433,-98.461,19781.659615225
48027,31.051,-97.492,19757.084182885
48025,28.394,-97.732,19351.770725846
48023,33.616,-99.214,18697
48021,30.104,-97.336,21501.669691093
48019,29.76,-99.191,19763.761250592
48017,34.068,-102.831,18827
48015,29.927,-96.313,19107.439981192
48013,28.888,-98.451,18345.45056226
48011,34.965,-101.357,18933.005768621
48009,33.615,-98.687,18287.734784540
48007,28.006,-97.025,18508.943854749
48005,31.248,-94.567,19512.910018421
48003,32.304,-102.637,18915.388310649
48001,31.788,-95.661,18733.000758150
47189,36.145,-86.304,19780.823728814
47187,35.9,-86.907,19781.018928343
47185,35.944,-85.448,17698
47183,36.294,-88.738,17383.746829466
47181,35.245,-87.798,17486
47179,36.295,-82.501,17539.497451053
47177,35.681,-85.777,18240.873367791
47175,35.691,-85.434,17486
47173,36.296,-83.838,18388.420546182
47171,36.117,-82.418,17546.931084337
47169,36.367,-86.128,19780.280251371
47167,35.524,-89.763,19363.917446007
47165,36.485,-86.48,19780.962447942
47163,36.503,-82.264,17542.335193932
47161,36.481,-87.831,17446
47159,36.266,-85.957,17723.232749469
47157,35.194,-89.971,19365.262631115
47155,35.764,-83.522,18432.461570622
47153,35.377,-85.416,18040.059008707
47151,36.408,-84.517,17638
47149,35.846,-86.421,19780.858436154
47147,36.513,-86.857,19780.319542550
47145,35.832,-84.526,17585.742622494
47143,35.592,-84.928,17788.265079256
47141,36.168,-85.454,17196.154145358
47139,35.127,-84.534,17919.656882657
47137,36.595,-85.008,17486
47135,35.641,-87.845,17486
47133,36.359,-85.29,18190.384057971
47131,36.354,-89.149,18088.057133266
47129,36.111,-84.627,17296.450838390
47127,35.286,-86.391,17480.781675662
47125,36.481,-87.377,18768.498167982
47123,35.443,-84.232,17486
47121,35.476,-84.825,17486
47119,35.62,-87.068,18288.555020585
47117,35.48,-86.78,17950.102830381
47115,35.145,-85.617,18041.572917358
47113,35.611,-88.841,17554.566144380
47111,36.529,-86.008,17743.240616488
47109,35.188,-88.574,17234
47107,35.452,-84.63,17944.022694351
47105,35.741,-84.358,18383.897841226
47103,35.18,-86.577,17486
47101,35.519,-87.493,17486
47099,35.23,-87.404,18317.516356853
47097,35.77,-89.649,17486
47095,36.265,-89.522,18061
47093,36.023,-83.962,18378.036770889
47091,36.47,-81.852,17486
47089,36.048,-83.472,17695.03343084
47087,36.359,-85.668,18198.335402121
47085,36.04,-87.776,17486
47083,36.293,-87.747,18193
47081,35.802,-87.472,18246.910523876
47079,36.323,-88.26,18282.447030879
47077,35.654,-88.396,17496
47075,35.584,-89.285,17456
47073,36.437,-82.944,17546.012635135
47071,35.197,-88.181,17486
47069,35.212,-88.99,17486
47067,36.54,-83.151,17486
47065,35.183,-85.208,18032.306350525
47063,36.203,-83.275,17685.380244253
47061,35.409,-85.699,17486
47059,36.152,-82.874,18293.395258829
47057,36.272,-83.493,17854.714718353
47055,35.213,-87.03,17869
47053,36.013,-88.949,18172
47051,35.171,-86.098,17347.559905977
47049,36.408,-84.89,17486
47047,35.197,-89.414,19363.628174004
47045,36.079,-89.443,17534.723583356
47043,36.146,-87.358,19780.364067475
47041,35.982,-85.846,17486
47039,35.616,-88.109,17486
47037,36.207,-86.785,19781.096281704
47035,35.958,-84.976,18296.244539702
47033,35.802,-89.127,17450.784706418
47031,35.497,-86.074,17213.887429775
47029,35.945,-83.106,18059.068727097
47027,36.529,-85.54,17486
47025,36.471,-83.689,17134
47023,35.482,-88.596,17570.292006848
47021,36.244,-87.096,19780.282351368
47019,36.28,-82.137,17544.480295567
47017,35.986,-88.442,17486
47015,35.806,-86.046,19780.139066789
47013,36.412,-84.138,17286.065088349
47011,35.169,-84.861,17899.480458610
47009,35.668,-83.925,18378.398640916
47007,35.605,-85.176,17486
47005,36.102,-88.07,17486
47003,35.484,-86.45,17716.558604174
47001,36.11,-84.195,18378.526274285
46137,45.024,-101.568,19531
46135,43.017,-97.398,19338.142988734
46129,45.42,-100.097,19531
46127,42.929,-96.626,19336.659609334
46125,43.334,-97.162,20491.660370370
46123,43.337,-99.882,19531
46121,43.193,-100.713,19531
46119,44.723,-100.201,20261.812912693
46117,44.307,-100.529,20438.457113821
46115,44.937,-98.347,20028
46113,43.343,-102.541,19531
46111,44.023,-98.09,19531
46109,45.781,-96.849,19531
46107,45.072,-99.998,19531
46105,45.492,-102.478,19898
46103,43.998,-103.028,20096.560816810
46101,44.021,-96.67,19531
46099,43.674,-96.791,20512.994262948
46097,44.022,-97.61,19531
46095,43.551,-100.721,19531
46093,44.589,-102.787,19280.493394446
46091,45.761,-97.603,19531
46089,45.766,-99.221,19531
46087,43.674,-97.369,20491.406948808
46085,43.91,-99.824,19531
46083,43.292,-96.68,20501.577798388
46081,44.372,-103.754,19061.822238980
46079,44.021,-97.129,19531
46077,44.369,-97.49,19531
46075,43.947,-100.701,19531
46073,44.066,-98.629,19531
46071,43.691,-101.601,19531
46069,44.545,-99.488,19531
46067,43.334,-97.756,19531
46065,44.428,-100.089,19947.700477415
46063,45.578,-103.493,19531
46061,43.674,-97.787,19474.467171717
46059,44.546,-99.006,19531
46057,44.673,-97.188,19931
46055,44.282,-101.527,19531
46053,43.143,-99.016,19531
46051,45.151,-96.839,19531
46049,45.071,-99.145,19531
46047,43.239,-103.527,20661
46045,45.418,-99.215,19966.089286784
46043,43.393,-98.408,19531
46041,45.122,-100.879,19531
46039,44.76,-96.668,19531
46037,45.369,-97.603,19531
46035,43.674,-98.145,19497.516946104
46033,43.667,-103.371,20356.542315085
46031,45.708,-101.154,19531
46029,44.977,-97.188,18854.066421463
46027,42.922,-96.983,19563.133667379
46025,44.848,-97.737,19531
46023,43.223,-98.689,19531
46021,45.768,-100.108,19531
46019,44.908,-103.507,19531
46017,44.063,-99.251,20304
46015,43.716,-99.131,19531
46013,45.588,-98.352,19166.601671512
46011,44.369,-96.79,19072.028915139
46009,42.987,-97.898,19531
46007,43.192,-101.669,19531
46005,44.414,-98.279,19344.881567676
46003,43.717,-98.564,19952
45091,34.989,-81.178,21641.840173724
45089,33.567,-79.709,19083
45087,34.703,-81.634,19907.425132403
45085,33.911,-80.27,21206.883398921
45083,34.918,-81.969,19460.381131258
45081,34.01,-81.741,21534.702113519
45079,34.048,-80.97,21529.776109057
45077,34.885,-82.71,20180.174864572
45075,33.386,-80.797,18915.806752773
45073,34.769,-83.088,20071.849420050
45071,34.333,-81.63,20407.350714482
45069,34.603,-79.692,19428.609837599
45067,34.065,-79.349,20527
45065,33.924,-82.319,20353
45063,33.891,-81.248,21531.346598391
45061,34.158,-80.24,20527
45059,34.449,-81.979,18934.939166958
45057,34.649,-80.658,20509.189453939
45055,34.295,-80.581,20318.084766754
45053,32.497,-81.011,20022.563051410
45051,33.875,-78.919,21609.109412889
45049,32.835,-81.126,20034
45047,34.144,-82.101,19758.608978019
45045,34.97,-82.455,20177.722087929
45043,33.454,-79.303,20419.519398812
45041,34.047,-79.693,20374.254849835
45039,34.384,-81.098,21533.893442623
